respondent_id,pre_college_sport_1,pre_college_sport_1_level,pre_college_sport_1_skill,pre_college_sport_2,pre_college_sport_2_level,pre_college_sport_2_skill,pre_college_sport_3,pre_college_sport_3_level,pre_college_sport_3_skill,pre_college_other_sports,im_badminton_experience,im_badminton_skill,im_basketball_experience,im_basketball_skill,im_billiards_experience,im_billiards_skill,im_broomball_experience,im_broomball_skill,im_climbing_experience,im_climbing_skill,im_dodgeball_experience,im_dodgeball_skill,im_flag_football_experience,im_flag_football_skill,im_foosball_experience,im_foosball_skill,im_inner_tube_water_polo_experience,im_inner_tube_water_polo_skill,im_pickleball_experience,im_pickleball_skill,im_ping_pong_experience,im_ping_pong_skill,im_river_run_experience,im_river_run_skill,im_soccer_experience,im_soccer_skill,im_softball_experience,im_softball_skill,im_spikeball_experience,im_spikeball_skill,im_squash_experience,im_squash_skill,im_tennis_experience,im_tennis_skill,im_ultimate_frisbee_experience,im_ultimate_frisbee_skill,im_volleyball_experience,im_volleyball_skill,is_varsity,varsity_sport
97,Basketball,HS Varsity,9,Tennis,Casual,3,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,6,1 season,5,Never played,,1 season,6,1 season,7,2+ seasons,5,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,6,no,
98,Cross Country,Casual,6,Wrestling,HS Varsity,8,Basketball,HS JV,6,  Rowing ,Never played,,Never played,,1 season,6,1 season,4,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,no,
99,Track & Field,HS Varsity,6,Football (American),Casual,3,,,,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,1 season,3,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,7,2+ seasons,7,1 season,5,no,
100,Tennis,Casual,2,Track & Field,HS Varsity,6,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,1 season,2,no,
101,Tennis,Casual,5,Track & Field,Casual,6,,,,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,1 season,4,Never played,,Never played,,1 season,5,Never played,,no,
102,Swimming,HS Varsity,10,Tennis,HS Varsity,10,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,1 season,5,no,
103,Track & Field,HS Varsity,5,Soccer,Casual,2,,,,,1 season,6,1 season,2,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,yes,Track & Field
104,Gymnastics,Casual,7,Track & Field,HS Varsity,8,,,,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,no,
105,Tennis,Casual,4,,,,,,,,Never played,,1 season,5,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,8,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,6,no,
106,Tennis,Casual,5,Basketball,HS JV,7,,,,,1 season,5,Never played,,1 season,3,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
107,Baseball,Casual,2,Swimming,Casual,7,Crew,Casual,5,martial arts,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,4,1 season,6,Never played,,Never played,,Never played,,1 season,5,1 season,6,no,
108,,,,,,,,,,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,2,Never played,,1 season,6,Never played,,1 season,2,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,no,
109,Tennis,Casual,3,Swimming,HS JV,2,Basketball,HS JV,6,,1 season,5,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,no,
110,Crew,HS Varsity,10,Basketball,HS Varsity,8,,,,,Never played,,Never played,,Never played,,1 season,6,2+ seasons,5,Never played,,Never played,,1 season,8,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,yes,Men's Rowing
111,,,,,,,,,,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,no,
112,Track & Field,HS Varsity,8,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
113,Track & Field,Casual,2,Soccer,Casual,5,Crew,Casual,4,rowing,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,2+ seasons,8,1 season,8,no,
114,Tennis,HS JV,7,Crew,HS JV,7,,,,,Never played,,1 season,3,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
115,,,,,,,,,,,1 season,4,1 season,5,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
116,Soccer,Casual,6,Crew,HS Varsity,8,,,,,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,6,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
117,Crew,HS Varsity,8,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,no,
118,Football (American),HS Varsity,8,Crew,Casual,3,Swimming,HS JV,4,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
119,,,,,,,,,,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,4,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,no,
120,Basketball,Casual,4,Swimming,Casual,3,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,3,Never played,,2+ seasons,9,Never played,,1 season,6,1 season,4,Never played,,no,
121,Swimming,HS Varsity,8,,,,,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,9,Never played,,1 season,6,Never played,,1 season,4,no,
122,,,,,,,,,,,Never played,,Never played,,2+ seasons,10,Never played,,1 season,6,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,no,
123,Soccer,HS Varsity,6,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,no,
124,Basketball,HS Varsity,6,Ice Hockey,HS Varsity,5,Soccer,HS Varsity,9,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,no,
125,Track & Field,HS Varsity,7,Wrestling,Casual,3,,,,,1 season,6,Never played,,Never played,,1 season,5,1 season,5,Never played,,1 season,7,2+ seasons,8,2+ seasons,5,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
126,Basketball,Casual,4,Baseball,Casual,6,Swimming,Casual,5,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
127,Cheerleading/Dance,Casual,3,Lacrosse,HS JV,7,Track & Field,Casual,3,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,5,1 season,3,Never played,,1 season,3,Never played,,Never played,,Never played,,no,
128,Baseball,Casual,2,Swimming,HS Varsity,10,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,7,Never played,,1 season,5,Never played,,Never played,,Never played,,no,
129,Field Hockey,HS Varsity,9,,,,,,,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,2+ seasons,7,1 season,7,Never played,,1 season,5,1 season,5,Never played,,no,
130,Track & Field,Casual,5,Crew,HS Varsity,10,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,6,Never played,,Never played,,2+ seasons,5,Never played,,no,
131,Basketball,HS JV,3,Swimming,Casual,4,Soccer,HS JV,7,,1 season,4,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,3,Never played,,1 season,3,Never played,,Never played,,1 season,5,no,
132,,,,,,,,,,,1 season,5,Never played,,1 season,4,Never played,,Never played,,1 season,3,Never played,,1 season,6,1 season,6,Never played,,Never played,,1 season,4,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
133,Basketball,HS Varsity,9,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,1 season,5,1 season,6,Never played,,no,
134,Wrestling,Casual,1,Football (American),HS JV,5,,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,Never played,,no,
135,Swimming,Casual,5,Crew,Casual,3,Baseball,Casual,2,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,no,
136,Swimming,Casual,8,Soccer,Casual,4,,,,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,2,Never played,,Never played,,Never played,,1 season,6,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,no,
137,Lacrosse,Casual,3,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,4,Never played,,Never played,,2+ seasons,7,1 season,5,2+ seasons,8,no,
138,Squash,HS JV,4,Track & Field,Casual,4,Tennis,HS Varsity,6,,Never played,,Never played,,Never played,,1 season,7,1 season,6,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,no,
139,Tennis,Casual,5,Swimming,HS JV,7,,,,,1 season,5,Never played,,1 season,2,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,no,
140,Soccer,HS Varsity,8,Cross Country,HS Varsity,9,Tennis,Casual,3,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,2+ seasons,7,1 season,3,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,no,
141,Lacrosse,HS JV,3,Football (American),HS Varsity,10,,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,1,Never played,,Never played,,Never played,,1 season,5,no,
142,Lacrosse,Casual,5,,,,,,,,Never played,,Never played,,Never played,,1 season,7,1 season,2,1 season,6,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,no,
143,Track & Field,HS Varsity,8,Football (American),Casual,4,,,,,Never played,,Never played,,1 season,7,Never played,,1 season,6,1 season,3,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,yes,Track & Field
144,Basketball,Casual,2,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
145,Soccer,Casual,4,Track & Field,Casual,3,,,,,Never played,,Never played,,1 season,5,Never played,,2+ seasons,8,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,1 season,7,Never played,,Never played,,Never played,,no,
146,Tennis,Casual,6,,,,,,,,Never played,,2+ seasons,7,Never played,,1 season,7,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,no,
147,Swimming,HS Varsity,7,,,,,,,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,6,yes,Swimming & Diving
148,Swimming,Casual,6,Crew,Casual,4,Cross Country,Casual,1,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,no,
149,Swimming,Casual,4,Basketball,HS Varsity,10,,,,,Never played,,1 season,6,1 season,3,Never played,,Never played,,1 season,6,1 season,5,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
150,Swimming,HS JV,5,Cross Country,HS Varsity,5,Football (American),Casual,6,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,1,1 season,4,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,no,
151,Football (American),HS Varsity,10,,,,,,,,Never played,,2+ seasons,9,Never played,,Never played,,1 season,8,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Football
152,Swimming,HS Varsity,9,,,,,,,,Never played,,1 season,7,Never played,,1 season,6,Never played,,1 season,6,1 season,5,Never played,,1 season,7,Never played,,1 season,7,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
153,Gymnastics,HS Varsity,6,Swimming,Casual,2,Basketball,Casual,5,"  cycling , Surfing",1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,no,
154,Tennis,Casual,7,Basketball,Casual,5,Crew,HS Varsity,8,"Surfing , sailing ",Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
155,Crew,HS Varsity,7,,,,,,,,1 season,6,Never played,,1 season,8,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Women's Rowing
156,Cross Country,Casual,6,,,,,,,,1 season,5,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,2+ seasons,6,1 season,4,Never played,,Never played,,no,
157,Softball,Casual,6,Baseball,Casual,7,Climbing,Casual,8,,1 season,6,Never played,,1 season,5,Never played,,Never played,,1 season,5,1 season,3,Never played,,Never played,,Never played,,1 season,8,Never played,,1 season,3,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,no,
158,Baseball,Casual,3,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,1 season,5,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,no,
159,Cross Country,HS Varsity,7,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,3,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,yes,Cross Country
160,Cross Country,Casual,3,,,,,,,,1 season,5,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,5,Never played,,Never played,,no,
161,Tennis,HS Varsity,7,Swimming,HS Varsity,7,,,,,1 season,6,1 season,3,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,5,no,
162,Soccer,HS JV,7,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,no,
163,Wrestling,Casual,4,Tennis,Casual,5,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,1 season,5,2+ seasons,7,Never played,,Never played,,2+ seasons,9,no,
164,,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,1 season,5,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,no,
165,Track & Field,Casual,3,Football (American),HS JV,4,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,3,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
166,Track & Field,HS Varsity,8,Flag Football,HS JV,5,Softball,HS JV,3,,1 season,7,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,no,
167,Basketball,HS Varsity,10,Lacrosse,Casual,1,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,no,
168,,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
169,Track & Field,HS Varsity,9,,,,,,,,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,5,Never played,,2+ seasons,5,1 season,4,1 season,5,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,3,yes,Track & Field
170,Squash,Casual,5,Soccer,Casual,3,,,,,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,1 season,6,Never played,,1 season,3,Never played,,Never played,,no,
171,,,,,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,9,1 season,4,Never played,,Never played,,1 season,6,1 season,7,Never played,,Never played,,Never played,,Never played,,no,
172,Basketball,HS Varsity,7,Tennis,HS JV,6,,,,,1 season,5,Never played,,2+ seasons,7,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,no,
173,Baseball,Casual,5,Field Hockey,HS Varsity,9,,,,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
174,Crew,Casual,3,Tennis,Casual,3,,,,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,2+ seasons,9,1 season,6,Never played,,Never played,,no,
175,Tennis,Casual,2,Swimming,HS Varsity,8,,,,,1 season,5,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
176,Tennis,HS Varsity,8,,,,,,,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,4,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,no,
177,Lacrosse,HS Varsity,7,,,,,,,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,3,2+ seasons,8,Never played,,Never played,,1 season,3,Never played,,1 season,2,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,no,
178,Track & Field,HS Varsity,9,,,,,,,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,2+ seasons,5,Never played,,Never played,,Never played,,1 season,7,1 season,7,Never played,,no,
179,Baseball,Casual,1,Cross Country,HS Varsity,9,Track & Field,Casual,6,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,7,Never played,,Never played,,Never played,,no,
180,Tennis,HS Varsity,9,,,,,,,,1 season,7,Never played,,Never played,,Never played,,1 season,4,1 season,4,Never played,,Never played,,1 season,6,Never played,,Never played,,2+ seasons,4,1 season,3,1 season,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,no,
181,,,,,,,,,,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
182,Crew,Casual,3,Ping Pong,Casual,6,,,,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,6,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
183,Soccer,HS Varsity,9,Crew,Casual,5,Football (American),Casual,6,,Never played,,Never played,,2+ seasons,3,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,3,Never played,,yes,Soccer
184,,,,,,,,,,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,no,
185,Ice Hockey,HS Varsity,6,,,,,,,,Never played,,1 season,4,1 season,5,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,1 season,8,1 season,6,Never played,,yes,Ice Hockey
186,Soccer,HS Varsity,8,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,6,Never played,,1 season,4,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,no,
187,Volleyball,HS Varsity,10,,,,,,,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,4,Never played,,2+ seasons,5,1 season,8,Never played,,2+ seasons,9,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,yes,Volleyball
188,Ice Hockey,HS Varsity,8,,,,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,yes,Ice Hockey
189,Squash,Casual,4,Football (American),Casual,2,,,,,1 season,6,Never played,,1 season,5,Never played,,Never played,,1 season,6,Never played,,1 season,5,1 season,5,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
190,Climbing,Casual,1,,,,,,,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
191,Wrestling,HS Varsity,6,Field Hockey,Casual,5,,,,,Never played,,1 season,4,Never played,,2+ seasons,8,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,4,no,
192,Track & Field,HS JV,4,Lacrosse,HS Varsity,7,,,,,Never played,,1 season,6,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
193,Swimming,Casual,2,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,no,
194,Tennis,HS Varsity,8,Football (American),HS Varsity,9,Track & Field,Casual,5,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,4,no,
195,Track & Field,Casual,7,,,,,,,,Never played,,Never played,,Never played,,2+ seasons,7,1 season,5,2+ seasons,10,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,7,2+ seasons,10,1 season,7,Never played,,Never played,,1 season,4,Never played,,1 season,6,no,
196,Track & Field,HS Varsity,8,,,,,,,,1 season,5,1 season,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,1 season,3,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,1 season,6,yes,Track & Field
