respondent_id,pre_college_sport_1,pre_college_sport_1_level,pre_college_sport_1_skill,pre_college_sport_2,pre_college_sport_2_level,pre_college_sport_2_skill,pre_college_sport_3,pre_college_sport_3_level,pre_college_sport_3_skill,im_badminton_experience,im_badminton_skill,im_basketball_experience,im_basketball_skill,im_billiards_experience,im_billiards_skill,im_broomball_experience,im_broomball_skill,im_climbing_experience,im_climbing_skill,im_dodgeball_experience,im_dodgeball_skill,im_flag_football_experience,im_flag_football_skill,im_foosball_experience,im_foosball_skill,im_inner_tube_water_polo_experience,im_inner_tube_water_polo_skill,im_pickleball_experience,im_pickleball_skill,im_ping_pong_experience,im_ping_pong_skill,im_river_run_experience,im_river_run_skill,im_soccer_experience,im_soccer_skill,im_softball_experience,im_softball_skill,im_spikeball_experience,im_spikeball_skill,im_squash_experience,im_squash_skill,im_tennis_experience,im_tennis_skill,im_ultimate_frisbee_experience,im_ultimate_frisbee_skill,im_volleyball_experience,im_volleyball_skill,is_varsity,varsity_sport
98,Golf,HS Varsity,7,Swimming,Casual,4,Basketball,Casual,4,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,4,1 season,7,2+ seasons,5,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,6,1 season,7,Never played,,2+ seasons,6,yes,Golf
99,Football (American),Casual,3,Track & Field,HS Varsity,8,Soccer,HS Varsity,10,Never played,,2+ seasons,6,2+ seasons,9,1 season,6,2+ seasons,7,1 season,7,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,no,
100,Track & Field,HS Varsity,8,,,,,,,1 season,1,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,3,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,yes,Track & Field
101,Soccer,HS Varsity,10,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
102,Track & Field,HS Varsity,8,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
103,Swimming,HS Varsity,9,Tennis,HS Varsity,7,,,,Never played,,1 season,5,1 season,5,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,3,Never played,,2+ seasons,10,Never played,,Never played,,2+ seasons,7,Never played,,2+ seasons,5,Never played,,1 season,3,1 season,7,no,
104,Track & Field,Casual,5,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
105,Soccer,HS Varsity,7,Tennis,Casual,4,,,,1 season,2,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,2+ seasons,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,7,Never played,,Never played,,no,
106,Basketball,HS Varsity,6,Ice Hockey,Casual,5,,,,1 season,8,Never played,,Never played,,1 season,5,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,no,
107,Ice Hockey,HS Varsity,9,Baseball,Casual,2,Tennis,Casual,4,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,9,Never played,,Never played,,Never played,,Never played,,yes,Ice Hockey
108,Cross Country,HS JV,5,,,,,,,Never played,,2+ seasons,8,Never played,,1 season,5,1 season,8,Never played,,Never played,,1 season,7,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,no,
109,Cross Country,HS Varsity,10,,,,,,,Never played,,1 season,7,Never played,,1 season,4,1 season,6,Never played,,Never played,,Never played,,1 season,5,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,yes,Cross Country
110,Softball,HS JV,6,,,,,,,1 season,5,Never played,,1 season,4,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,no,
111,Soccer,HS JV,7,Baseball,Casual,5,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,no,
112,Ping Pong,Casual,5,Ice Hockey,Casual,5,Field Hockey,Casual,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,2+ seasons,9,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
113,Baseball,HS JV,4,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
114,Track & Field,Casual,2,Softball,HS Varsity,5,Basketball,Casual,2,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,8,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,no,
115,Wrestling,HS Varsity,5,,,,,,,Never played,,Never played,,1 season,7,1 season,4,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,4,2+ seasons,9,Never played,,yes,Wrestling
116,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,2+ seasons,9,no,
117,Sailing,HS Varsity,9,Softball,Casual,3,Gymnastics,Casual,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Sailing
118,Volleyball,Casual,5,Soccer,Casual,2,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
119,Tennis,HS Varsity,8,,,,,,,Never played,,Never played,,Never played,,1 season,6,1 season,4,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,1 season,7,1 season,3,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
120,Tennis,HS Varsity,10,Track & Field,HS Varsity,7,,,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,no,
121,Baseball,Casual,4,Football (American),HS Varsity,7,,,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,6,Never played,,Never played,,1 season,8,Never played,,1 season,6,Never played,,1 season,5,Never played,,1 season,3,1 season,5,no,
122,Cheerleading/Dance,HS Varsity,10,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,3,Never played,,Never played,,1 season,3,1 season,5,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
123,Soccer,HS Varsity,9,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Soccer
124,Track & Field,Casual,4,,,,,,,Never played,,2+ seasons,9,1 season,5,Never played,,Never played,,1 season,5,Never played,,Never played,,2+ seasons,6,1 season,4,1 season,4,Never played,,1 season,6,1 season,3,Never played,,Never played,,1 season,7,Never played,,Never played,,no,
125,Cheerleading/Dance,Casual,5,,,,,,,Never played,,1 season,5,1 season,5,Never played,,Never played,,2+ seasons,7,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,no,
126,Soccer,HS Varsity,6,,,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,no,
127,Lacrosse,Casual,3,Volleyball,HS JV,4,,,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,7,1 season,3,2+ seasons,5,Never played,,Never played,,no,
128,Cross Country,HS Varsity,8,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,yes,Cross Country
129,Cross Country,HS Varsity,7,Track & Field,HS JV,5,Basketball,HS JV,7,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,2+ seasons,6,Never played,,1 season,5,1 season,6,Never played,,Never played,,yes,Cross Country
130,Tennis,Casual,2,Crew,HS JV,3,,,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,no,
131,Lacrosse,Casual,5,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,4,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
132,Tennis,HS Varsity,9,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,no,
133,Track & Field,Casual,1,Squash,Casual,5,,,,1 season,3,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,no,
134,Soccer,Casual,4,Basketball,HS JV,6,,,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,no,
135,Swimming,Casual,7,Soccer,HS Varsity,8,,,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,no,
136,Tennis,HS Varsity,9,Track & Field,Casual,5,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,1 season,4,1 season,4,Never played,,no,
137,Track & Field,Casual,3,Cross Country,Casual,4,Soccer,Casual,5,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,3,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,no,
138,Track & Field,HS Varsity,10,,,,,,,2+ seasons,6,1 season,6,Never played,,2+ seasons,5,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,3,Never played,,Never played,,Never played,,2+ seasons,7,1 season,5,yes,Track & Field
139,,,,,,,,,,Never played,,1 season,8,Never played,,Never played,,1 season,7,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
140,Soccer,Casual,2,Baseball,Casual,7,,,,1 season,5,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,no,
141,Swimming,Casual,2,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,no,
142,Swimming,HS Varsity,9,,,,,,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
143,Football (American),Casual,4,,,,,,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
144,Swimming,HS Varsity,8,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,Never played,,Never played,,no,
145,Basketball,HS Varsity,10,Squash,Casual,4,,,,Never played,,2+ seasons,6,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,no,
146,Track & Field,Casual,5,Soccer,HS Varsity,10,Basketball,Casual,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,1 season,4,no,
147,Basketball,Casual,3,Track & Field,HS JV,3,Tennis,Casual,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,2+ seasons,4,Never played,,1 season,6,2+ seasons,9,Never played,,Never played,,Never played,,1 season,6,no,
148,Basketball,HS Varsity,8,Swimming,HS Varsity,10,Soccer,Casual,4,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,5,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
149,Baseball,HS Varsity,7,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,4,2+ seasons,7,Never played,,Never played,,1 season,5,Never played,,Never played,,2+ seasons,8,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,yes,Baseball
150,Basketball,Casual,4,Tennis,HS Varsity,8,,,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
151,Track & Field,HS JV,4,Soccer,Casual,7,,,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,8,Never played,,Never played,,1 season,7,no,
152,Lacrosse,HS Varsity,8,,,,,,,Never played,,Never played,,1 season,6,2+ seasons,9,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,no,
153,Lacrosse,HS Varsity,10,,,,,,,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,6,1 season,5,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,2+ seasons,7,yes,Lacrosse
154,Soccer,HS Varsity,9,Lacrosse,Casual,2,Wrestling,Casual,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,6,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,no,
155,Basketball,HS Varsity,9,,,,,,,1 season,4,1 season,6,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Basketball
156,Basketball,Casual,4,,,,,,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,no,
157,Soccer,Casual,7,Badminton,HS JV,7,,,,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,6,Never played,,1 season,5,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
158,Basketball,HS Varsity,6,Soccer,HS JV,5,,,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,3,Never played,,Never played,,Never played,,2+ seasons,8,1 season,6,Never played,,Never played,,no,
159,Field Hockey,Casual,4,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,1 season,3,1 season,3,1 season,7,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,2+ seasons,5,no,
160,Basketball,HS Varsity,7,,,,,,,1 season,4,Never played,,Never played,,Never played,,1 season,7,1 season,4,Never played,,Never played,,2+ seasons,9,2+ seasons,9,1 season,8,Never played,,Never played,,1 season,6,1 season,6,Never played,,1 season,6,Never played,,Never played,,no,
161,Wrestling,Casual,3,Football (American),Casual,5,Swimming,Casual,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,no,
162,Soccer,HS Varsity,10,Swimming,Casual,4,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,3,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,no,
163,,,,,,,,,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,1 season,6,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,no,
164,Track & Field,HS Varsity,7,,,,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,1 season,4,1 season,6,1 season,3,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,1 season,3,no,
165,Track & Field,HS Varsity,9,,,,,,,Never played,,Never played,,Never played,,1 season,5,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,yes,Track & Field
166,Track & Field,HS Varsity,9,Basketball,HS Varsity,8,Lacrosse,HS Varsity,6,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
167,Cross Country,HS Varsity,10,Lacrosse,HS Varsity,8,,,,2+ seasons,7,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,1 season,5,1 season,7,Never played,,yes,Cross Country
168,Soccer,Casual,4,Tennis,HS Varsity,7,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,4,Never played,,1 season,4,Never played,,Never played,,1 season,3,1 season,7,no,
169,Track & Field,Casual,5,Crew,HS Varsity,10,,,,Never played,,2+ seasons,7,2+ seasons,7,Never played,,1 season,4,Never played,,1 season,5,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
170,Swimming,HS Varsity,5,Basketball,HS Varsity,8,,,,1 season,3,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Swimming & Diving
171,Ice Hockey,Casual,4,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
172,Swimming,HS Varsity,9,Soccer,Casual,3,,,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,5,Never played,,2+ seasons,5,1 season,4,1 season,5,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,yes,Swimming & Diving
173,Baseball,HS Varsity,9,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,no,
174,Football (American),Casual,5,Lacrosse,Casual,4,,,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,9,1 season,4,Never played,,Never played,,1 season,6,1 season,7,Never played,,Never played,,Never played,,no,
175,Swimming,Casual,3,,,,,,,Never played,,Never played,,Never played,,1 season,4,Never played,,2+ seasons,10,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,6,Never played,,no,
176,Tennis,Casual,3,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,Never played,,1 season,6,Never played,,no,
177,Swimming,HS JV,4,,,,,,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,2+ seasons,7,Never played,,1 season,4,no,
178,Swimming,HS Varsity,9,Baseball,HS Varsity,8,,,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,2+ seasons,7,1 season,5,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,yes,Swimming & Diving
179,Swimming,HS Varsity,6,Track & Field,Casual,3,Soccer,Casual,7,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,8,1 season,5,Never played,,1 season,6,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Swimming & Diving
180,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,9,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,1 season,3,Never played,,1 season,2,no,
181,Track & Field,Casual,3,,,,,,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,no,
182,Volleyball,HS JV,5,Softball,Casual,3,Cross Country,HS Varsity,4,1 season,4,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,3,1 season,5,Never played,,1 season,6,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,1 season,7,Never played,,Never played,,no,
183,,,,,,,,,,1 season,6,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,7,Never played,,Never played,,Never played,,1 season,4,1 season,4,Never played,,Never played,,1 season,6,Never played,,no,
184,Skiing,HS Varsity,5,Swimming,HS JV,6,Lacrosse,Casual,3,Never played,,2+ seasons,9,2+ seasons,8,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Skiing
185,Soccer,Casual,3,,,,,,,1 season,7,Never played,,2+ seasons,7,1 season,5,Never played,,Never played,,1 season,4,Never played,,1 season,4,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,no,
186,Football (American),HS Varsity,7,Swimming,HS Varsity,8,,,,Never played,,Never played,,1 season,6,Never played,,1 season,8,2+ seasons,6,2+ seasons,6,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,yes,Football
187,Track & Field,HS Varsity,6,Soccer,Casual,2,Basketball,Casual,6,1 season,6,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
188,Swimming,Casual,2,Football (American),HS Varsity,8,,,,1 season,6,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,8,1 season,6,Never played,,1 season,5,1 season,5,Never played,,Never played,,Never played,,Never played,,no,
189,Football (American),Casual,6,,,,,,,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
190,Football (American),HS JV,5,Swimming,Casual,7,,,,Never played,,1 season,5,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,2+ seasons,9,1 season,6,Never played,,Never played,,no,
191,Crew,Casual,4,Soccer,HS Varsity,10,,,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,6,1 season,4,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,no,
192,Swimming,HS Varsity,9,Crew,Casual,6,Soccer,HS Varsity,6,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,no,
193,Soccer,Casual,2,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,1 season,4,Never played,,1 season,5,1 season,5,Never played,,2+ seasons,8,Never played,,Never played,,1 season,6,Never played,,no,
194,Gymnastics,Casual,5,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,6,Never played,,2+ seasons,8,no,
195,,,,,,,,,,Never played,,Never played,,Never played,,1 season,5,2+ seasons,6,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
196,Football (American),HS Varsity,6,Tennis,Casual,5,Track & Field,Casual,5,Never played,,2+ seasons,6,Never played,,Never played,,1 season,7,2+ seasons,6,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,yes,Football
197,Wrestling,Casual,6,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,5,1 season,6,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,2+ seasons,7,1 season,5,no,
